tier,name,phone,address,city,category,website,rating,reviews,maps_url,place_id,checked_tier,reason
no_website,Elite Hair Styling,(732) 529-6238,"147 Stelton Rd, Piscataway, NJ 08854",Piscataway,Beauty salon,,4.4,186,https://www.google.com/maps/search/?api=1&query=Elite%20Hair%20Styling&query_place_id=ChIJgy0hvPa4w4kREWpTzAfDyGg,ChIJgy0hvPa4w4kREWpTzAfDyGg,no_website,No website listed on Google Maps at all.
no_website,Great Cuts Salon,(732) 981-8155,"1390 Centennial Ave, Piscataway, NJ 08854",Piscataway,Beauty salon,,4.2,161,https://www.google.com/maps/search/?api=1&query=Great%20Cuts%20Salon&query_place_id=ChIJiaCUF264w4kR0323BMxNZWs,ChIJiaCUF264w4kR0323BMxNZWs,no_website,No website listed on Google Maps at all.
no_website,House of Blades II,,"397 Park Ave, Piscataway, NJ 08854",Piscataway,Barber shop,,4.1,55,https://www.google.com/maps/search/?api=1&query=House%20of%20Blades%20II&query_place_id=ChIJwSgGPci4w4kRkTfpB0yc_-U,ChIJwSgGPci4w4kRkTfpB0yc_-U,no_website,No website listed on Google Maps at all.
no_website,Heights Haircutters,(732) 885-5550,"14 Plainfield Ave Ste 2, Piscataway, NJ 08854",Piscataway,Barber shop,,4.5,46,https://www.google.com/maps/search/?api=1&query=Heights%20Haircutters&query_place_id=ChIJR0fSL03Hw4kReuX-8P3Fts8,ChIJR0fSL03Hw4kReuX-8P3Fts8,no_website,No website listed on Google Maps at all.
no_website,Finest Barber Shop,(732) 369-3915,"600 William St, Piscataway, NJ 08854",Piscataway,Barber shop,,4.5,26,https://www.google.com/maps/search/?api=1&query=Finest%20Barber%20Shop&query_place_id=ChIJE_kyQA-5w4kRfIoIdbiTB1Q,ChIJE_kyQA-5w4kRfIoIdbiTB1Q,no_website,No website listed on Google Maps at all.
no_website,Brothers barber shop,(908) 333-9080,"1330 W 7th St, Piscataway, NJ 08854",Piscataway,Barber shop,,4.3,10,https://www.google.com/maps/search/?api=1&query=Brothers%20barber%20shop&query_place_id=ChIJoadz5T-5w4kRa6IXbiLcywE,ChIJoadz5T-5w4kRa6IXbiLcywE,no_website,No website listed on Google Maps at all.
no_website,Haircuts and colors by Marta,(908) 420-7017,"1390 Centennial Ave, Piscataway, NJ 08854",Piscataway,Hairdresser,,4.5,2,https://www.google.com/maps/search/?api=1&query=Haircuts%20and%20colors%20by%20Marta&query_place_id=ChIJrftz9Ki5w4kRMMoFssPsIf8,ChIJrftz9Ki5w4kRMMoFssPsIf8,no_website,No website listed on Google Maps at all.
needs_check,Hey Beautiful Hair Salon,(732) 200-8003,"175 Stelton Rd, Piscataway, NJ 08854",Piscataway,Hair salon,http://heybeautifulhairsalon.com/,4.1,48,https://www.google.com/maps/search/?api=1&query=Hey%20Beautiful%20Hair%20Salon&query_place_id=ChIJ6UHwsbK5w4kRUd9lYsI0nuo,ChIJ6UHwsbK5w4kRUd9lYsI0nuo,dead_site,"Domain is parked - it just redirects to a placeholder lander page, no site at all."
needs_check,Vintage Barbershop,(908) 293-1290,"424 S Washington Ave, Piscataway, NJ 08854",Piscataway,Barber shop,http://vintagebarbershop.us/,4.8,19,https://www.google.com/maps/search/?api=1&query=Vintage%20Barbershop&query_place_id=ChIJ78kMRYm5w4kRup5UWEMX56Q,ChIJ78kMRYm5w4kRup5UWEMX56Q,dead_site,"Site won't load - the http address redirects to https and the secure connection fails, so browsers show an error."
needs_check,Facelook Barber Shop,(732) 200-8010,"2105 New Brunswick Ave, South Plainfield, NJ 07080",South Plainfield,Barber shop,https://squareup.com/appointments/book/8CKQR2T9V6JJF/start,4.8,232,https://www.google.com/maps/search/?api=1&query=Facelook%20Barber%20Shop&query_place_id=ChIJ___Pvk24w4kRyu8IETb1Srg,ChIJ___Pvk24w4kRyu8IETb1Srg,social_only,Their only web link is a Square booking page - no site of their own for 232 reviews' worth of customers.
